fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
6.4;0.214;0.318;1.8;0.108;18;78;0.9969;3.39;0.39;9.2;5
6.4;0.222;0.347;0.9;0.111;26;108;0.9931;3.33;0.84;12.5;8
6.2;0.44;0.357;2.0;0.088;13;61;0.9954;3.39;0.7;11.2;8
11.9;0.665;0.158;4.6;0.012;13;149;0.9981;3.17;0.64;11.8;6
9.5;0.631;0.104;0.9;0.148;6;147;0.996;3.2;0.64;9.2;3
8.5;0.603;0.473;3.5;0.093;22;92;0.998;3.4;0.64;10.0;5
6.2;0.397;0.285;4.0;0.151;18;118;0.9982;3.51;0.67;11.2;8
9.0;0.568;0.442;5.9;0.045;8;30;1.0005;3.3;0.61;9.1;3
9.4;0.594;0.198;3.5;0.04;21;66;0.9974;3.25;0.36;10.0;3
6.0;0.589;0.29;4.0;0.108;20;160;0.9981;3.48;0.48;10.4;3
8.2;0.826;0.338;1.8;0.087;10;114;0.9943;3.34;0.67;11.4;5
6.5;0.496;0.459;3.0;0.096;33;163;0.9965;3.35;0.49;11.3;7
7.3;0.657;0.406;2.8;0.166;11;88;0.9975;3.4;1.0;11.0;5
8.0;0.535;0.132;0.9;0.072;24;65;0.996;3.3;0.58;9.7;4
8.8;0.393;0.027;0.9;0.123;6;103;0.9958;3.25;0.68;10.3;8
7.6;0.168;0.127;0.9;0.028;21;63;0.9943;3.42;0.7;11.3;8
5.7;0.767;0.62;3.2;0.088;29;109;0.997;3.49;0.97;11.1;7
4.7;0.865;0.124;1.3;0.074;2;154;0.996;3.55;0.76;9.0;3
5.6;0.509;0.311;1.0;0.059;16;41;0.9954;3.57;0.76;10.3;8
8.2;0.355;0.102;3.7;0.022;14;43;0.9981;3.23;0.78;10.9;5
11.0;0.479;0.485;3.7;0.174;9;85;0.9976;3.12;0.6;10.8;8
9.1;0.12;0.479;0.9;0.032;9;164;0.9957;3.15;0.39;9.7;4
8.3;0.484;0.25;2.9;0.097;1;115;0.9975;3.38;0.33;10.5;5
10.7;0.541;0.271;3.2;0.053;1;31;0.9968;3.26;0.84;10.0;5
11.5;0.359;0.0;1.5;0.087;14;62;0.9961;3.11;0.33;10.6;6
10.5;0.771;0.164;0.9;0.036;4;99;0.9946;3.15;0.85;10.6;8
7.6;0.662;0.134;5.8;0.078;14;114;0.9989;3.3;0.78;12.3;8
6.4;0.517;0.231;1.6;0.148;13;97;0.9962;3.5;0.65;10.2;5
9.7;0.506;0.471;2.6;0.132;8;97;0.9975;3.17;0.55;10.8;8
7.7;0.631;0.412;3.9;0.089;20;77;0.997;3.38;0.68;11.5;8
7.7;0.558;0.176;0.9;0.087;23;143;0.9947;3.3;0.49;10.5;5
6.1;0.684;0.543;3.5;0.031;18;100;0.9958;3.41;0.58;11.3;7
8.2;0.782;0.492;3.5;0.081;3;47;0.9968;3.3;0.55;10.6;4
7.6;0.143;0.174;3.3;0.072;11;54;0.9974;3.31;0.71;9.6;6
7.4;0.588;0.368;2.0;0.117;14;71;0.9977;3.33;0.9;8.5;4
9.4;0.48;0.284;2.8;0.079;1;152;0.9973;3.28;0.64;10.0;8
9.1;0.48;0.259;0.9;0.128;22;63;0.9949;3.26;0.73;9.1;5
7.5;0.767;0.477;4.6;0.145;18;158;0.9986;3.36;0.57;11.5;7
9.5;0.793;0.223;3.4;0.135;6;104;0.9982;3.23;0.48;9.0;4
5.3;0.44;0.127;3.0;0.085;24;44;0.9978;3.55;0.79;8.6;7
8.1;0.714;0.21;4.1;0.089;14;35;0.9989;3.29;0.78;9.8;4
9.2;0.772;0.15;3.4;0.084;26;79;0.999;3.2;0.69;8.4;3
10.3;0.587;0.116;3.1;0.067;12;118;0.9981;3.2;0.89;10.2;6
9.7;0.588;0.299;3.1;0.079;31;152;0.9963;3.24;0.67;11.0;6
10.4;0.721;0.268;2.8;0.052;29;56;0.9967;3.16;0.33;10.5;6
9.4;0.242;0.309;1.8;0.09;8;135;0.9964;3.27;0.4;10.9;7
6.1;0.722;0.25;2.0;0.056;9;34;0.9952;3.45;0.87;11.5;8
8.9;0.877;0.343;1.7;0.13;25;90;0.9963;3.35;0.73;11.1;7
7.9;0.563;0.092;1.3;0.065;20;52;0.9957;3.41;0.71;8.6;3
9.9;0.615;0.185;0.9;0.107;21;178;0.9965;3.18;0.73;8.7;4
10.0;0.459;0.337;3.9;0.06;8;125;0.9981;3.17;0.71;10.7;8
7.5;0.855;0.445;1.5;0.108;18;79;0.9961;3.37;0.65;11.3;6
8.6;0.872;0.307;2.7;0.058;13;108;0.9978;3.24;0.41;9.5;3
6.9;0.416;0.221;1.9;0.072;15;151;0.9955;3.46;0.9;11.9;8
9.0;0.656;0.069;0.9;0.077;15;119;0.9946;3.29;0.82;12.4;8
8.4;0.473;0.288;2.0;0.012;7;85;0.9957;3.28;0.48;11.5;8
8.0;0.376;0.633;3.2;0.083;14;60;0.9976;3.32;0.45;9.7;4
7.9;0.334;0.45;3.8;0.059;24;137;0.9983;3.39;0.74;10.1;5
8.7;0.715;0.268;1.7;0.115;24;96;0.9953;3.29;0.65;10.5;4
6.9;0.472;0.306;0.9;0.084;41;123;0.9955;3.4;0.44;11.3;3
7.4;0.471;0.398;3.0;0.164;34;150;0.998;3.27;0.7;10.2;5
8.1;0.561;0.216;3.1;0.052;25;77;0.9964;3.4;0.69;10.0;5
5.5;0.55;0.175;3.6;0.033;1;104;0.9988;3.47;0.49;9.9;4
10.3;0.626;0.1;4.8;0.017;26;167;0.9977;3.2;0.7;12.0;8
6.4;0.502;0.314;1.7;0.081;8;35;0.9954;3.37;0.66;10.2;7
6.8;0.516;0.23;4.0;0.098;19;119;0.9984;3.44;0.82;10.8;7
7.1;0.673;0.424;0.9;0.091;20;142;0.9955;3.4;0.88;10.3;5
8.5;0.484;0.191;1.1;0.067;23;126;0.9962;3.31;0.8;10.5;8
7.8;0.553;0.308;2.9;0.063;4;143;0.997;3.46;0.86;10.7;5
9.8;0.275;0.515;2.7;0.12;23;46;0.9963;3.29;0.71;11.6;8
9.6;0.507;0.182;2.4;0.08;3;29;0.9968;3.26;0.53;10.8;4
10.0;0.606;0.429;2.6;0.077;35;147;0.9974;3.17;0.68;10.3;6
9.4;0.602;0.259;1.3;0.161;9;99;0.9971;3.3;0.64;8.4;3
6.6;0.49;0.197;3.0;0.066;23;130;0.9944;3.42;0.7;13.2;8
5.7;0.775;0.083;4.4;0.096;14;159;0.9982;3.38;0.76;10.3;7
6.3;0.356;0.287;3.6;0.148;37;184;0.997;3.47;0.56;11.6;6
7.2;0.621;0.165;2.0;0.04;37;193;0.9965;3.43;1.08;11.8;8
4.6;0.365;0.373;3.4;0.134;4;131;0.9973;3.57;0.79;9.7;8
6.6;0.652;0.218;2.6;0.068;22;127;0.9976;3.43;0.92;10.3;7
7.4;0.363;0.201;0.9;0.033;15;134;0.9941;3.38;0.43;11.7;8
8.3;0.523;0.242;2.3;0.128;14;140;0.9958;3.42;0.33;12.5;8
6.6;0.53;0.154;2.8;0.077;17;139;0.9958;3.37;0.55;11.0;5
6.9;0.745;0.072;0.9;0.081;17;176;0.9958;3.4;0.62;9.3;3
5.8;0.494;0.396;2.9;0.06;21;156;0.9967;3.46;0.49;10.7;5
7.8;0.615;0.116;2.4;0.068;20;137;0.9966;3.32;0.33;11.1;7
5.9;0.367;0.322;4.1;0.087;31;178;0.9992;3.48;0.74;9.0;3
8.3;0.345;0.247;3.0;0.041;25;98;0.9956;3.25;0.61;10.7;6
9.7;0.814;0.379;4.6;0.057;20;147;0.9985;3.26;0.43;11.0;7
9.9;0.516;0.447;3.7;0.047;36;89;0.9979;3.21;0.67;9.5;5
7.0;0.441;0.057;1.9;0.017;9;35;0.9966;3.42;0.81;11.5;7
5.4;0.399;0.613;4.0;0.1;22;127;0.9975;3.5;0.89;10.0;5
6.0;0.586;0.334;2.2;0.075;25;98;0.9957;3.45;0.82;10.8;8
9.6;0.486;0.463;0.9;0.077;12;134;0.9951;3.17;0.61;8.4;3
11.9;0.307;0.219;4.5;0.067;27;186;0.9975;3.08;0.61;10.9;6
6.6;0.625;0.468;1.4;0.012;18;125;0.9957;3.48;0.66;11.8;3
6.7;0.603;0.058;1.7;0.114;16;75;0.9959;3.41;0.7;9.5;7
8.0;0.363;0.486;2.2;0.081;20;87;0.9959;3.36;0.8;9.3;3
5.8;0.549;0.425;1.3;0.051;31;108;0.9965;3.55;0.64;8.4;3
9.6;0.591;0.505;3.5;0.012;1;60;0.9961;3.18;1.02;13.3;8
6.6;0.443;0.006;0.9;0.088;1;65;0.9947;3.43;0.83;10.5;3
9.0;0.552;0.403;4.5;0.132;19;101;0.9978;3.25;0.33;11.6;8
10.1;0.385;0.0;2.1;0.137;31;166;0.9973;3.28;0.9;9.8;3
8.5;0.504;0.268;4.6;0.062;12;97;0.998;3.29;0.62;11.7;7
6.8;0.447;0.38;1.7;0.098;23;87;0.9961;3.45;0.58;10.5;8
8.1;0.398;0.26;1.7;0.115;25;84;0.9962;3.3;0.87;10.4;6
7.2;0.553;0.034;2.9;0.097;18;97;0.9953;3.34;0.76;11.6;8
5.9;0.393;0.543;2.0;0.029;1;126;0.9966;3.51;0.56;9.9;3
6.3;0.559;0.169;0.9;0.059;17;68;0.9964;3.42;0.81;9.3;3
5.8;0.61;0.0;2.1;0.09;6;90;0.9968;3.45;0.68;11.2;6
10.1;0.72;0.311;1.2;0.045;1;95;0.9946;3.17;0.52;10.9;8
7.7;0.342;0.517;0.9;0.049;1;97;0.9961;3.46;0.78;10.4;8
6.4;0.427;0.121;1.6;0.017;9;53;0.9968;3.5;0.72;10.3;6
6.4;0.256;0.278;4.8;0.127;32;141;0.9983;3.47;0.42;11.1;8
6.4;0.671;0.351;4.6;0.066;27;174;0.9956;3.49;0.52;12.8;8
8.4;1.047;0.294;1.9;0.099;13;109;0.9955;3.33;0.82;11.8;6
9.8;0.244;0.293;4.8;0.059;21;94;0.9978;3.18;0.5;11.4;8
9.3;0.827;0.13;5.4;0.201;13;43;0.9984;3.21;0.58;12.1;8
8.5;0.515;0.166;1.3;0.019;20;124;0.9947;3.3;0.56;10.6;5
8.3;0.616;0.47;0.9;0.051;16;93;0.9957;3.38;0.86;9.4;4
7.7;0.435;0.027;2.8;0.128;28;185;0.9968;3.36;0.95;10.2;6
7.5;0.228;0.315;3.1;0.083;4;67;0.9968;3.38;0.43;11.3;6
6.2;0.504;0.253;0.9;0.156;11;71;0.995;3.37;1.04;10.8;7
7.7;0.412;0.286;6.8;0.126;21;81;1.0002;3.38;0.44;11.6;7
8.7;0.628;0.287;2.3;0.106;19;121;0.9961;3.26;0.77;11.3;7
6.3;0.629;0.0;2.2;0.101;30;71;0.9976;3.45;0.97;8.4;3
5.9;0.614;0.333;4.9;0.055;27;152;0.9981;3.49;0.74;10.9;7
5.4;0.348;0.238;2.0;0.043;28;49;0.9954;3.44;0.93;11.4;5
7.7;0.472;0.468;1.4;0.128;13;161;0.9961;3.38;0.76;9.6;4
6.7;0.563;0.007;2.3;0.034;19;135;0.9969;3.38;0.81;10.9;4
8.6;0.526;0.408;3.5;0.093;24;71;0.9983;3.28;0.73;10.5;8
4.7;0.337;0.078;4.7;0.141;26;171;0.9992;3.6;0.84;8.4;3
7.9;0.722;0.48;1.7;0.115;12;91;0.9964;3.37;0.9;9.4;6
9.1;0.4;0.367;6.0;0.124;15;103;0.9986;3.3;0.84;11.8;8
9.5;0.762;0.315;4.6;0.141;7;41;0.9981;3.31;0.86;11.1;7
7.4;0.254;0.0;1.9;0.06;9;109;0.9972;3.32;0.33;8.4;3
9.4;0.26;0.314;0.9;0.186;16;150;0.9957;3.24;0.44;10.5;6
6.5;0.214;0.0;4.1;0.114;19;103;0.9971;3.44;0.64;10.6;7
7.2;0.598;0.156;0.9;0.061;9;40;0.9962;3.41;0.47;9.1;3
5.9;0.455;0.274;1.3;0.078;1;83;0.9954;3.55;0.59;10.6;7
8.6;0.544;0.353;0.9;0.029;19;161;0.9948;3.3;0.79;11.4;8
9.6;0.124;0.334;4.7;0.105;20;46;1.0;3.21;0.74;9.9;6
5.6;0.34;0.417;3.6;0.096;9;141;0.998;3.48;0.38;11.3;5
11.6;0.433;0.23;3.9;0.026;17;83;0.9978;3.06;0.43;10.9;8
6.4;0.456;0.311;2.3;0.15;27;132;0.9965;3.44;0.67;10.2;6
8.5;0.302;0.0;0.9;0.123;18;66;0.9952;3.21;0.4;9.5;7
7.6;0.488;0.35;4.1;0.14;11;140;0.998;3.39;0.65;10.6;5
7.8;0.323;0.477;1.5;0.08;17;75;0.9964;3.3;0.41;11.0;4
7.0;0.538;0.247;2.1;0.067;9;89;0.9954;3.39;0.5;11.9;8
4.6;0.662;0.521;1.8;0.089;28;130;0.9966;3.52;0.49;10.1;4
8.1;0.363;0.484;3.9;0.114;8;58;0.998;3.31;0.47;10.7;8
7.2;0.446;0.326;2.1;0.031;22;59;0.9962;3.45;0.64;10.3;8
7.0;0.548;0.085;5.1;0.031;5;114;1.0003;3.38;0.58;10.1;7
9.4;0.12;0.306;0.9;0.046;13;136;0.9958;3.16;0.93;10.3;5
7.2;0.464;0.256;2.4;0.098;15;100;0.9961;3.38;0.67;10.1;6
5.2;0.392;0.305;2.3;0.085;13;51;0.9975;3.55;0.33;10.0;6
7.1;0.784;0.436;0.9;0.131;17;145;0.9958;3.35;0.78;9.6;3
8.4;0.564;0.223;3.6;0.065;26;83;0.9966;3.34;0.7;11.6;6
10.6;0.701;0.265;2.0;0.143;10;154;0.9954;3.15;0.78;11.0;8
9.6;0.778;0.373;3.7;0.195;16;102;0.9967;3.28;0.74;11.7;7
7.9;0.391;0.194;3.4;0.073;8;36;0.9966;3.34;0.55;11.4;7
5.7;0.374;0.243;0.9;0.038;33;184;0.9946;3.46;0.56;12.3;8
8.9;0.431;0.344;2.3;0.077;31;120;0.9967;3.26;0.81;9.5;7
7.5;0.632;0.379;0.9;0.107;15;157;0.9966;3.34;0.72;10.6;5
6.7;0.737;0.171;4.3;0.062;1;83;0.998;3.39;0.63;11.0;6
9.6;0.823;0.22;3.8;0.098;10;159;0.9975;3.34;0.69;10.3;4
7.1;0.27;0.337;3.4;0.121;18;55;0.9969;3.39;0.65;11.1;7
9.2;0.364;0.413;3.2;0.116;24;113;0.9974;3.27;0.58;11.1;8
7.6;0.12;0.148;4.5;0.054;17;169;0.999;3.42;0.88;10.3;8
7.0;0.411;0.029;3.2;0.074;7;83;0.9963;3.41;0.61;11.0;7
6.6;0.335;0.335;6.0;0.086;18;113;1.0;3.45;0.42;11.1;7
9.1;0.179;0.035;3.7;0.066;27;98;0.9984;3.19;0.93;9.9;8
8.4;0.465;0.246;0.9;0.159;15;75;0.9953;3.37;0.81;8.4;4
9.4;0.625;0.326;0.9;0.1;19;173;0.995;3.16;0.65;10.3;8
6.3;0.637;0.204;0.9;0.104;20;93;0.9959;3.36;0.61;10.2;5
9.7;0.479;0.278;3.7;0.087;34;120;0.9974;3.19;0.57;9.3;5
7.5;0.395;0.364;3.3;0.102;15;139;0.9983;3.32;0.47;9.8;3
8.2;0.678;0.401;0.9;0.052;17;81;0.9948;3.35;0.71;10.7;8
5.0;0.712;0.188;3.5;0.012;11;102;0.9987;3.57;0.67;9.8;3
7.1;0.647;0.055;1.8;0.145;14;115;0.9959;3.35;0.59;10.4;5
6.5;0.536;0.333;2.1;0.103;21;67;0.9972;3.37;0.85;9.6;3
7.5;0.524;0.191;1.9;0.091;25;112;0.9969;3.41;0.33;10.0;3
5.8;0.344;0.132;4.5;0.159;19;70;0.9987;3.5;0.72;10.1;6
8.3;0.405;0.009;4.8;0.119;16;51;0.9978;3.34;0.61;10.8;7
7.9;0.587;0.137;0.9;0.105;1;49;0.9953;3.36;0.75;9.9;7
5.0;0.678;0.223;3.4;0.127;15;114;0.9973;3.56;0.53;11.5;7
8.3;0.657;0.432;1.4;0.105;15;64;0.9952;3.37;0.39;10.3;3
9.3;0.591;0.406;1.7;0.106;16;173;0.996;3.32;0.74;10.7;8
7.4;0.299;0.408;2.8;0.111;21;125;0.9947;3.4;0.48;12.9;8
10.8;0.546;0.326;3.4;0.049;13;172;0.9978;3.11;0.56;10.0;6
8.6;0.571;0.097;3.7;0.16;29;185;0.9966;3.36;1.08;11.5;8
7.9;0.672;0.051;2.1;0.149;9;139;0.9962;3.28;0.59;9.8;5
6.5;0.637;0.221;5.0;0.111;20;109;0.9992;3.44;0.6;10.1;7
8.8;0.694;0.243;2.1;0.066;12;42;0.9953;3.3;0.61;10.4;5
7.0;0.342;0.259;3.9;0.119;6;159;0.9982;3.38;0.84;10.7;6
9.2;0.475;0.28;0.9;0.059;10;98;0.9953;3.24;0.91;11.4;8
6.9;0.284;0.188;0.9;0.012;18;108;0.9956;3.39;0.51;11.1;5
11.2;0.502;0.305;5.2;0.108;6;29;0.9983;3.19;0.89;11.2;8
7.0;0.651;0.206;1.5;0.055;5;152;0.9956;3.41;0.79;10.7;5
9.4;0.672;0.113;3.5;0.069;11;169;0.9983;3.18;0.45;9.7;3
9.7;0.679;0.173;4.0;0.09;6;112;0.9963;3.24;0.54;11.3;8
5.1;0.376;0.241;7.3;0.126;10;134;1.0005;3.55;0.73;12.3;8
10.4;0.653;0.162;2.7;0.103;2;64;0.997;3.19;0.72;9.4;3
9.1;0.227;0.349;2.6;0.094;10;110;0.9979;3.27;0.34;11.0;5
9.6;0.435;0.064;0.9;0.04;21;128;0.9956;3.27;0.5;10.2;5
6.7;0.375;0.325;2.8;0.074;18;153;0.9968;3.37;0.83;9.9;5
8.6;0.597;0.278;5.3;0.037;18;99;0.9994;3.32;0.63;10.3;5
10.6;0.459;0.186;4.8;0.012;14;154;0.9984;3.26;0.66;11.7;6
6.7;0.614;0.232;2.0;0.147;10;49;0.9962;3.39;0.87;11.4;8
4.7;0.645;0.219;3.3;0.067;29;95;0.9976;3.54;0.87;9.6;3
7.2;0.567;0.462;6.0;0.059;18;120;1.0002;3.38;0.5;10.6;4
8.9;0.88;0.195;3.8;0.072;12;34;0.9968;3.32;0.35;11.8;5
10.0;0.42;0.299;1.4;0.054;13;167;0.9958;3.29;0.46;11.7;8
6.7;0.672;0.184;3.6;0.083;31;83;0.9986;3.48;0.83;11.0;6
9.8;0.309;0.235;2.7;0.137;2;153;0.9973;3.17;0.49;10.6;8
6.0;0.646;0.049;1.1;0.086;1;124;0.9956;3.53;0.47;10.1;5
6.1;0.288;0.376;3.6;0.063;9;40;0.9982;3.44;0.77;11.5;8
5.0;0.395;0.009;1.8;0.128;15;131;0.9946;3.54;0.53;11.2;8
9.2;0.855;0.583;1.4;0.103;40;189;0.9978;3.19;0.52;9.2;4
10.1;0.609;0.411;1.4;0.1;24;176;0.9957;3.11;0.75;11.5;8
5.7;0.597;0.456;4.1;0.116;34;163;0.9982;3.55;0.61;11.6;4
5.0;0.464;0.505;1.2;0.107;21;77;0.9956;3.47;0.77;8.7;5
7.7;0.527;0.365;3.5;0.066;1;120;0.9985;3.38;0.59;8.9;4
8.4;0.557;0.618;6.1;0.085;29;153;0.9994;3.29;0.61;11.3;6
6.8;0.626;0.471;2.1;0.06;12;102;0.9972;3.45;0.98;9.5;4
7.7;0.56;0.302;4.6;0.145;24;173;1.0;3.29;0.42;10.1;3
7.8;0.675;0.379;1.7;0.155;15;56;0.9967;3.34;0.81;9.2;4
8.8;0.656;0.298;2.1;0.046;38;63;0.9976;3.24;0.65;9.4;4
9.6;0.222;0.321;3.0;0.104;11;54;0.9977;3.2;0.52;10.4;3
5.9;0.289;0.236;2.0;0.095;17;161;0.9955;3.45;0.41;11.9;7
4.8;0.282;0.318;1.8;0.153;25;137;0.9955;3.53;0.33;11.1;8
7.5;0.672;0.227;2.2;0.022;28;77;0.9959;3.36;0.6;11.8;8
11.2;0.711;0.151;3.5;0.132;39;180;0.9975;3.22;0.94;11.5;7
10.3;0.468;0.203;0.9;0.089;18;133;0.9953;3.23;0.52;11.3;6
4.8;0.544;0.066;2.8;0.027;23;156;0.9972;3.54;0.52;9.7;3
9.3;0.564;0.51;3.5;0.126;7;67;0.9992;3.23;0.51;8.4;3
10.2;0.8;0.376;1.0;0.083;19;49;0.995;3.22;0.74;10.5;5
6.3;0.517;0.393;4.0;0.11;27;72;0.9983;3.53;0.82;10.9;8
7.3;0.749;0.041;3.1;0.065;10;165;0.9979;3.46;0.74;10.0;3
6.1;0.695;0.393;3.2;0.088;21;137;0.9951;3.41;0.83;12.2;8
4.9;0.191;0.116;4.2;0.072;6;68;0.9982;3.53;0.68;10.6;8
7.4;0.586;0.494;1.6;0.052;3;49;0.9967;3.37;0.45;10.0;5
8.3;0.609;0.149;0.9;0.012;19;120;0.9946;3.31;0.73;11.6;8
8.0;0.405;0.0;3.9;0.034;5;65;0.9986;3.28;0.54;9.3;3
6.7;0.221;0.017;2.7;0.046;14;78;0.9957;3.45;0.99;11.2;5
8.0;0.361;0.473;3.7;0.091;19;71;0.9988;3.3;0.81;10.9;8
9.1;0.3;0.361;3.4;0.063;1;137;0.9986;3.19;0.53;9.0;5
6.2;0.459;0.531;2.1;0.069;20;54;0.9985;3.44;0.88;8.4;4
8.2;0.53;0.38;1.5;0.128;31;176;0.995;3.36;0.72;10.4;7
8.6;0.512;0.416;2.2;0.097;21;62;0.996;3.26;0.57;9.9;3
9.3;0.434;0.0;3.3;0.102;19;124;0.9986;3.25;0.74;8.4;4
9.2;0.793;0.015;3.2;0.115;4;126;0.9971;3.25;0.73;11.6;8
8.8;0.362;0.034;3.8;0.089;34;101;0.9971;3.35;0.59;10.5;5
9.6;0.695;0.488;1.5;0.101;19;96;0.9973;3.26;0.49;8.5;3
8.7;0.539;0.559;2.7;0.103;14;78;0.9978;3.33;0.76;10.3;5
6.1;0.571;0.238;0.9;0.04;9;70;0.9965;3.41;0.49;9.1;3
7.7;0.126;0.399;2.6;0.012;12;130;0.9956;3.33;0.55;10.6;6
6.0;0.759;0.089;1.7;0.102;15;81;0.9951;3.57;0.7;10.1;8
7.8;0.598;0.086;1.9;0.088;10;33;0.997;3.44;0.73;9.1;3
4.6;0.569;0.306;1.0;0.127;14;125;0.9954;3.54;0.7;10.9;5
10.6;0.485;0.476;2.4;0.131;7;101;0.9966;3.27;0.53;9.9;4
5.7;0.472;0.081;2.5;0.123;1;71;0.9965;3.49;0.5;11.7;7
10.8;0.664;0.098;2.7;0.054;24;126;0.9969;3.23;0.49;10.3;4
8.6;0.709;0.192;5.3;0.075;19;138;0.9991;3.32;0.73;11.6;7
8.3;0.718;0.262;0.9;0.02;34;138;0.9949;3.32;0.59;10.6;7
9.1;0.673;0.262;0.9;0.093;24;50;0.9935;3.29;0.84;12.0;8
7.1;0.526;0.082;5.0;0.042;22;121;0.9985;3.4;0.9;9.5;3
6.3;0.32;0.265;0.9;0.101;21;152;0.9951;3.45;0.55;9.8;7
4.6;0.405;0.471;0.9;0.038;1;120;0.9956;3.48;0.39;9.5;6
9.2;0.608;0.478;2.1;0.081;10;96;0.9959;3.29;0.61;10.8;6
10.5;0.558;0.277;4.8;0.12;8;140;1.0002;3.22;0.53;9.9;6
8.1;0.213;0.432;2.0;0.115;19;62;0.9963;3.37;0.71;10.9;8
7.1;0.58;0.163;1.6;0.101;16;90;0.9951;3.44;0.59;11.3;8
7.2;0.608;0.525;1.0;0.063;16;52;0.995;3.34;0.49;11.4;8
7.0;0.592;0.366;1.7;0.145;12;66;0.9961;3.45;0.38;9.8;6
9.0;0.656;0.672;0.9;0.17;18;97;0.9944;3.34;0.45;11.3;7
8.5;0.389;0.275;2.5;0.129;11;114;0.9966;3.37;0.75;9.6;3
7.0;0.803;0.344;1.3;0.074;11;50;0.9959;3.34;0.71;9.6;5
9.2;0.478;0.209;1.2;0.082;32;115;0.9935;3.32;0.67;13.2;8
7.7;0.427;0.055;4.2;0.088;28;105;0.9968;3.36;0.51;11.7;6
8.4;0.267;0.305;2.7;0.116;3;117;0.9962;3.27;0.47;11.9;8
10.2;0.512;0.25;0.9;0.109;9;31;0.9969;3.19;0.7;9.9;6
6.9;0.42;0.247;1.4;0.049;16;75;0.9964;3.44;0.88;9.5;5
6.5;0.68;0.119;0.9;0.089;9;124;0.9954;3.44;0.47;10.0;5
7.8;0.753;0.297;4.3;0.092;9;123;0.9978;3.35;0.92;10.4;4
7.3;0.758;0.183;3.0;0.082;25;184;0.9981;3.34;0.59;10.2;5
8.1;0.147;0.291;3.7;0.049;21;41;0.9973;3.33;0.68;10.8;7
4.6;0.457;0.299;2.5;0.111;10;43;0.9979;3.49;0.88;8.6;3
7.3;0.638;0.362;3.2;0.08;18;84;0.9986;3.31;0.77;8.4;3
5.8;0.453;0.238;2.9;0.091;8;37;0.997;3.43;0.96;12.0;8
7.5;0.473;0.18;0.9;0.076;25;58;0.995;3.33;0.66;9.6;6
8.0;0.624;0.0;1.5;0.062;32;115;0.9963;3.39;0.55;10.0;6
10.3;0.651;0.342;4.3;0.067;10;88;0.9989;3.29;0.63;9.4;5
8.4;0.12;0.429;2.5;0.052;28;68;0.9974;3.31;0.47;10.1;6
6.0;0.38;0.448;3.1;0.127;1;80;0.9977;3.41;0.7;11.1;6
9.8;0.347;0.0;1.4;0.066;1;107;0.9962;3.15;0.45;9.8;6
8.9;0.553;0.384;2.5;0.094;29;82;0.9974;3.36;0.62;8.4;3
8.8;0.691;0.26;2.8;0.091;22;69;0.9973;3.3;0.75;9.0;3
8.2;0.625;0.462;0.9;0.06;26;70;0.9952;3.32;0.98;10.6;6
6.6;0.54;0.195;3.7;0.074;17;129;0.9956;3.53;0.97;13.0;8
8.3;0.474;0.494;5.2;0.094;9;81;0.9989;3.32;0.5;11.5;8
8.5;0.603;0.454;2.8;0.052;32;174;0.9947;3.34;0.76;12.0;8
9.4;0.619;0.24;2.0;0.02;15;125;0.9958;3.27;0.46;10.3;4
9.5;0.475;0.087;2.3;0.127;27;52;0.9968;3.28;0.55;10.5;5
6.8;0.874;0.0;1.0;0.051;24;62;0.9945;3.46;0.82;10.9;4
8.4;0.339;0.35;0.9;0.126;11;56;0.996;3.31;0.81;10.5;7
8.9;0.34;0.096;0.9;0.103;13;42;0.9953;3.33;0.77;10.5;6
10.5;0.462;0.153;1.0;0.012;32;155;0.9953;3.16;0.66;10.4;8
8.2;0.341;0.095;3.6;0.062;6;97;0.9976;3.35;0.67;9.9;5
6.2;0.205;0.242;2.6;0.023;1;64;0.9973;3.44;0.73;11.1;7
6.1;0.591;0.122;3.9;0.153;33;54;0.9986;3.5;0.78;8.7;3
6.5;0.56;0.074;2.4;0.095;20;61;0.9959;3.38;0.33;11.2;6
5.6;0.293;0.377;2.4;0.049;23;69;0.9948;3.52;0.83;11.2;8
8.3;0.477;0.257;1.9;0.044;17;171;0.9966;3.31;0.72;10.2;5
9.6;0.597;0.42;5.1;0.067;19;54;1.0005;3.3;0.47;10.3;6
7.3;0.573;0.434;2.1;0.043;1;103;0.9972;3.38;0.42;8.9;3
8.2;0.571;0.036;4.1;0.012;12;155;0.9978;3.28;0.44;10.8;7
6.8;0.433;0.03;1.9;0.14;18;72;0.9948;3.31;0.56;11.7;8
8.7;0.733;0.0;4.7;0.092;36;94;0.9998;3.26;0.56;9.9;4
6.9;0.12;0.29;0.9;0.044;20;147;0.9962;3.41;0.7;9.8;8
7.3;0.537;0.179;0.9;0.038;27;166;0.9962;3.45;0.64;10.4;5
10.1;0.453;0.276;1.4;0.078;21;155;0.9952;3.24;0.63;10.7;7
7.4;0.734;0.22;2.9;0.092;1;42;0.9975;3.39;0.59;11.0;7
10.2;0.69;0.02;1.0;0.038;23;86;0.9953;3.22;0.56;10.4;3
9.2;0.445;0.275;3.2;0.012;30;97;0.9966;3.37;0.75;11.8;8
